,FKZ,Zuwendungsempfänger,Ausführende Stelle,Thema,Leistungsplansystematik,Klartext Leistungsplansystematik,Laufzeit von,Laufzeit bis,Fördersumme in EUR,Förderprofil,Verbundprojekt,Förderart,year,accelerator_related
57,05298GDI/0,Berliner Elektronenspeicherring-Gesellschaft für Synchrotronstrahlung m.b.H. ( BESSY ),Berliner Elektronenspeicherring-Gesellschaft für Synchrotronstrahlung m.b.H. ( BESSY ),Bau und Inbetriebnahme eines Multipol-Wigglers/Undulators,U06005,BESSY,1983-11-01,1988-03-31,1188411,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1983,True
332,051001QI,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik,"Experimente im Neutralen K-Mesonen-Strahl des 25 Gev-Protonen-Synchrotrons, Aufbau einer Neutrino-Zähler-Apparatur für Experimente am 400 Gev-Beschleuniger von CERN II",U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,1974-07-01,1977-03-31,762011,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1974,True
384,051DO1Q,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Lehrstuhl Experimentelle Physik IV,"Untersuchung hochenergetischer Neutrinoreaktionen am 400 Gev-Beschleuniger vom CERN, Abschluß des Aufbaus der Meßapparatur sowie Erweiterung um ein Wasserstoff/Deuterium-Target",U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,1977-01-01,1980-06-30,372928,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1977,True
482,057BU26P/1,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin - Mathematisch-Naturwissenschaftliche Fakultät I - Institut für Physik - Elementarteilchenphysik - Experimentelle Elementarteilchenphysik II,"1.) L3 - Experiment am Beschleuniger LEP, CERN",U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,1996-01-04,2001-04-30,407425,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1996,True
524,05HT9PBA/2,Universität Bielefeld,Universität Bielefeld - Fakultät für Physik,"Prozesse der elektroschwachen Wechselwirkung, insbesondere W-Paarerzeugung, bei LEP2 und zukünftigen Linearbeschleunigern. Diffraktive Prozesse und Protonstruktur (HERA).",U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,1999-04-01,2002-03-31,105747,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1999,True
526,05HT9WWA/9,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg - Fakultät für Physik und Astronomie - Institut für Theoretische Physik und Astrophysik,Physik von Leptonen und Quarks und die Phänomenologie neuer Teilchen und Wechselwirkungen an Beschleunigeranlagen bei hohen Energien,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,1999-04-01,2001-03-31,103649,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1999,True
533,05EB8KT1/8,Technische Universität Berlin,Technische Universität Berlin - Fakultät IV - Elektrotechnik und Informatik - Institut für Technische Informatik und Mikroelektronik,Bau eines vektoriellen Netzwerkanalysators im W-Band (75-110 GHz),U05073,Technologische Entwicklung- Beschleunigertechnologie,1998-11-05,1999-05-31,51129,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1998,True
555,GS12001U,GSI Helmholtzzentrum für Schwerionenforschung GmbH,Gesellschaft für Schwerionenforschung mit beschränkter Haftung - Abt. Beschleunigertechnik,Verbesserung der Strahlqualität und Zuverlässigkeit der GSI-Beschleunigeranlagen 1. Erhöhung der Raumladungsströme im SIS 12/18 2. Anhebung der Stromgrenzen für Vorbeschleuniger - 3. Verbesserung der Verfügbarkeit des UNILAC-Strahls,PD3100,"=""",2001-09-01,2002-06-30,664679,Forschung und Entwicklung zur Daseinsvorsorge,"=""",PDIR,2001,True
569,05HF4PXA/4,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,FERMILAB-TEVATRON-D0: Beteiligung am D0 Experiment am Fermilab Proton-Antiproton Beschleuniger,U01019,Struktur und Wechselwirkung fundamentaler Teilchen - Sonstiges,2004-04-01,2006-06-30,262500,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
575,05HS4PAA/3,Rheinisch-Westfälische Technische Hochschule Aachen,Rheinisch-Westfälische Technische Hochschule Aachen - Fakultät 1 - Mathematik - Informatik - Naturwissenschaften - Fachgruppe Physik - III. Physikalisches Institut B,DESY-LINEARBESCHLEUNIGER: Entwicklung einer zentralen Spurkammer für einen Detektor am Elektron-Positron Linear Collider,U01012,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten bei DESY,2004-01-01,2006-12-31,118000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
582,05HS4VM1/5,Universität Mannheim,Universität Mannheim - Fakultät für Mathematik und Informatik - Institut für Technische Informatik,DESY-LINEARBESCHLEUNIGER: DEPFET-Pixeldetektor für TESLA,U01012,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten bei DESY,2004-01-01,2006-06-30,147971,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
589,05HT4WWA/2,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg - Fakultät für Physik und Astronomie - Institut für Theoretische Physik und Astrophysik,THEORIE-DESY-CERN: Theoretische Grundlagen für die Suche nach neuen Teilchen und Wechselwirkungen in Beschleunigerexperimenten.,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,2004-01-01,2006-06-30,149735,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
591,05HS4GUA/3,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",DESY-LINEARBESCHLEUNIGER: Detektorentwicklung und Physikstudien für einen Elektron-Positron Linear Collider,U01012,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten bei DESY,2004-01-01,2006-06-30,257000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
592,05HS4PDA/6,Rheinische Friedrich-Wilhelms-Universität Bonn,Rheinische Friedrich-Wilhelms-Universität Bonn - Mathematisch-Naturwissenschaftliche Fakultät - Physik/Astronomie - Physikalisches Institut,DESY-LINEARBESCHLEUNIGER: DEPFET-Pixeldetektor für TESLA,U01012,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten bei DESY,2004-01-01,2006-09-30,251750,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
596,05HS4GU1/4,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",DESY-LINEARBESCHLEUNIGER: Messung von Terahertz-Störfeldern bei TESLA mit der Methode der elektro-optischen Abtastung,U01012,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten bei DESY,2004-01-01,2007-12-31,214440,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
629,05ES4WEA/4,Friedrich-Alexander-Universität Erlangen-Nürnberg,Friedrich-Alexander-Universität Erlangen-Nürnberg - Naturwissenschaftliche Fakultät - Department Physik - Physikalisches Institut,Test und Weiterentwicklung von supraleitenden Undulatoren kurzer Magnetperiode am Karlsruher Elektronenspeicherring ANKA,U05071,Technologische Entwicklung- Lichtquellen,2004-07-01,2008-01-31,207527,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
630,05KS4MGB/7,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen - Fakultät für Physik - Röntgenphysik,BESSY: Ausarbeitung von Methoden zur Spektromikroskopie mit dem Rasterröntgenmikroskop am Undulator U41 anhand von Experimenten mit Proben aus den Umweltwissenschaften,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,2004-07-01,2008-02-29,116275,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
631,05KS4BY1/7,Berliner Elektronenspeicherring-Gesellschaft für Synchrotronstrahlung m.b.H. ( BESSY ),Berliner Elektronenspeicherring-Gesellschaft für Synchrotronstrahlung m.b.H. ( BESSY ),BESSY: Hochauflösende Tomographie und Spektroskopie mit den Röntgenmikroskopen am Undulator U41,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,2004-04-01,2007-03-31,400000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
664,05K13PX2,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,Verbundprojekt 05K2013 - HOPE: Hochbrillante photoinduzierte Hochfrequenz-Elektronenquellen. Teilprojekt 2: Untersuchung der photoinduzierten Feldemission für Elektronenquellen hoher Brillanz.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-09-30,379241,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - HOPE,PDIR,2013,True
667,05K13ODB,Technische Universität Dresden,Technische Universität Dresden - Fakultät Elektrotechnik und Informationstechnik - Institut für Nachrichtentechnik,Verbundprojekt 05K2013 - Strahldynamik/-diagnose: Untersuchung der Strahldynamik kurzer Elektronenpakete mit innovativen Diagnosemethoden. Teilprojekt 3: Integriertes Spektrometer zur Elektronenbunchform-Onlinediagnose.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-09-30,397121,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - Strahldynamik/-diagnose,PDIR,2013,True
669,05K13ODC,Technische Universität Dresden,Technische Universität Dresden - Fakultät Maschinenwesen - Institut für Luft- und Raumfahrttechnik,Verbundprojekt 05K2013 - Ioneninduzierte Materialanalyse/-modifizierung: Modifizierung und in-situ Analyse von Materialien durch mittelenergetische Ionenbestrahlung. Teilprojekt 1: Ultraschwere Ionen und deren Nutzung an HZDR-Beschleunigern.,U03053,Erforschung kondensierter Materie - Teilchenstrahlen,2013-07-01,2017-09-30,397323,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - Ioneninduzierte Materialanalyse/-modifizierung,PDIR,2013,True
670,05K13PS2,Universität Siegen,Universität Siegen - Fakultät IV - Department Maschinenbau - Lehrstuhl für Oberflächen- und Werkstofftechnik,Verbundprojekt 05K2013 - HOPE: Hochbrillante photoinduzierte Hochfrequenz-Elektronenquellen. Teilprojekt 1.2: Entwicklung einer Multipacting-freien Kathodeneinheit für supraleitende Hochfrequenz-Photoinjektoren (SRF-Guns).,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-12-31,602942,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - HOPE,PDIR,2013,True
672,05K13RDC,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Mikrowellentechnik und Photonik- FG Mikrowellentechnik,Verbundprojekt FSP 302 - Freie-Elektronen-Laser: Beschleunigerphysik - Konzept und Vision. Teilprojekt 2: Weiterentwicklung der Ankunftzeitmonitore für sehr geringe Ladungen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-06-30,314354,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 302 - Freie-Elektronen-Laser (Beschleunigerphysik),PDIR,2013,True
702,05K13RDD,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Elektrotechnik und Informationstechnik - Institut für Theorie Elektromagnetischer Felder,Verbundprojekt 05K2013 - HOPE: Hochbrillante photoinduzierte Hochfrequenz-Elektronenquellen. Teilprojekt 4: Strahldynamik und Emissionsmodellierung in hochbrillanten HF-Elektronenquellen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-06-30,172672,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - HOPE,PDIR,2013,True
703,05K13VKA,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Fakultät für Physik - Labor für Anwendungen von Synchrotronstrahlung (LAS),Verbundprojekt 05K2013 - Strahldynamik/-diagnose: Untersuchung der Strahldynamik kurzer Elektronenpakete mit innovativen Diagnosemethoden. Teilprojekt 1: Korrelierte Charakterisierung der Kurzbunch- Strahldynamik mit EO-Methoden und zeitlich hochaufgelöster THz Detektion.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-06-30,302050,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - Strahldynamik/-diagnose,PDIR,2013,True
706,05K13GU4,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt FSP 302 - Freie-Elektronen-Laser: Beschleunigerphysik - Konzept und Vision. Teilprojekt 4: Seeding in FLASH II - Freie-Elektronen-Laser als Laserverstärker mit optimierter Pulsqualität.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2017-01-15,980548,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 302 - Freie-Elektronen-Laser (Beschleunigerphysik),PDIR,2013,True
708,05K13HR2,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt FSP 302 - Freie-Elektronen-Laser: Beschleunigerphysik - Konzept und Vision. Teilprojekt 5: Entwicklung von Wakefield-basierten Apparaturen zur Kompression der longitudinalen Phasenraumverteilung an ELBE.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2017-03-31,337036,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 302 - Freie-Elektronen-Laser (Beschleunigerphysik),PDIR,2013,True
709,05K13PE3,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Verbundprojekt FSP 302 - Freie-Elektronen-Laser: Beschleunigerphysik - Konzept und Vision. Teilprojekt 3: EEHG bei FLASH und FLASH II,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-12-31,366405,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 302 - Freie-Elektronen-Laser (Beschleunigerphysik),PDIR,2013,True
710,05K13HRB,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt 05K2013 - HOPE: Hochbrillante photoinduzierte Hochfrequenz-Elektronenquellen. Teilprojekt 1.1: Entwicklung einer Multipacting-freien Kathodeneinheit für supraleitende Hochfrequenz-Photoinjektoren (SRF-Guns).,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2018-03-31,309213,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - HOPE,PDIR,2013,True
711,05K13PEC,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Verbundprojekt 05K2013 - Strahldynamik/-diagnose: Untersuchung der Strahldynamik kurzer Elektronenpakete mit innovativen Diagnosemethoden. Teilprojekt 2: Untersuchung der Dynamik transienter Prozesse in Elektronenspeicherringen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-06-30,220845,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - Strahldynamik/-diagnose,PDIR,2013,True
712,05K13GU5,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Verbundprojekt FSP 302 - Freie-Elektronen-Laser: Beschleunigerphysik - Konzept und Vision. Teilprojekt 1: Charakterisierung von ultra-kurzen Röntgenpulsen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-12-31,850001,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 302 - Freie-Elektronen-Laser (Beschleunigerphysik),PDIR,2013,True
722,05K13VK4,Karlsruher Institut für Technologie (Universitätsaufgabe),Karlsruher Institut für Technologie (KIT) - Institut für Mikro- und Nanoelektronische Systeme (IMS),Verbundprojekt 05K2013 - Strahldynamik/-diagnose: Untersuchung der Strahldynamik kurzer Elektronenpakete mit innovativen Diagnosemethoden. Teilprojekt 4: YBCO-Hot-Elektronen-Bolometer für die simultane zeitliche und spektrale Einzelimpulsanalyse in einem Elektronenbeschleuniger.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-06-30,424176,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - Strahldynamik/-diagnose,PDIR,2013,True
724,05K13HRC,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt 05K2013 - MILOS: Experimentelle Verifikation von Maßnahmen zur Milderung von Ioneneffekten in Hochstrombeschleunigern. Teilprojekt 1: MILOS - Entwicklung von Maßnahmen zur Milderung von Ioneneffekten in Hochstrommaschinen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-08-31,300412,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - MILOS,PDIR,2013,True
725,05K13RDA,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Physik - Institut für Kernphysik,Grundlegende Untersuchung zur Strahldynamik von ERLs und Messungen zum Beam Breakup Limit,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-10-31,274979,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2013,True
734,05K13WO1,Technische Universität München,Technische Universität München - Physik Department - E21: Lehrstuhl für Experimentalphysik III,Verbundprojekt 05K2013 - PosiAnalyse: Weiterentwicklung der Analysemethoden mit niederenergetischen Positronenstrahlen am FRM II. Teilprojekt 3: Gepulster Positronenbeschleuniger für Oberflächenuntersuchungen bis zu tiefen Temperaturen.,U03053,Erforschung kondensierter Materie - Teilchenstrahlen,2013-07-01,2016-12-31,521120,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - PosiAnalyse,PDIR,2013,True
739,05K13HR1,Universität Rostock,Universität Rostock - Fakultät für Informatik und Elektrotechnik - Institut für Allgemeine Elektrotechnik,Verbundprojekt 05K2013 - Supraleitende CW-Multizell-Resonatoren. Teilprojekt 2: Entwicklung von Kavitäten und modenbasierten Diagnoseverfahren für BESSY VSR unter Beachtung stochastischer Unsicherheiten.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-09-30,521514,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - Supraleitende CW-Multizell-Resonatoren,PDIR,2013,True
754,05K13PEB,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Zentrum für Synchrotronstrahlung,Verbundprojekt 05K2013 - Supraleitende CW-Multizell-Resonatoren. Teilprojekt 1: Neue Konzepte und Technologien bei der Anwendung supraleitender Multizell-Resonatoren in Strahlungsquellen mit besonderem Bezug zu BESSY-VSR.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-12-31,417180,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - Supraleitende CW-Multizell-Resonatoren,PDIR,2013,True
781,05K13PM1,Universität Münster,Universität Münster - Mathematisch-Naturwissenschaftliche Fakultät - Fachbereich Physik -Physikalisches Institut,Verbundprojekt FSP 302 - Freie-Elektronen-Laser: Kondensierte Materie unter extremen Bedingungen. Teilprojekt 3: Bau von Diagnostik- und Justiereinrichtungen für die Strahlteiler- und Verzögerungseinheit (SDU) am SASE2 Undulator des European XFEL.,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,2013-07-01,2016-12-31,671065,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,FSP 302 - Freie-Elektronen-Laser (extreme Bedingungen),PDIR,2013,True
782,05K13PDA,Rheinische Friedrich-Wilhelms-Universität Bonn,Rheinische Friedrich-Wilhelms-Universität Bonn - Mathematisch-Naturwissenschaftliche Fakultät - Physik/Astronomie - Physikalisches Institut,Verbundprojekt 05K2013 - MILOS: Experimentelle Verifikation von Maßnahmen zur Milderung von Ioneneffekten in Hochstombeschleunigern. Teilprojekt 2.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-06-30,126490,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - MILOS,PDIR,2013,True
791,05K13UM3,Johannes Gutenberg-Universität Mainz,"Johannes Gutenberg-Universität Mainz - FB 08 Physik, Mathematik und Informatik - Institut für Kernphysik",Verbundprojekt 05K2013 - HOPE: Hochbrillante photoinduzierte Hochfrequenz-Elektronenquellen. Teilprojekt 3: Elektronenquelle mit minimierter thermischer Emittanz und Strahlhalo.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2013-07-01,2016-06-30,268656,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2013 - HOPE,PDIR,2013,True
902,05EH7CH1,Deutsches Elektronen-Synchrotron (DESY),Deutsches Elektronen-Synchrotron (DESY),"Koordinierung der Maßnahmen zur wissenschaftlichen Betreuung, Bekanntmachung und kontinuierlichen Werbung für das deutsche Doktorandenprogramm bei der Europäischen Organisation für Kernforschung (CERN) - Wolfgang-Gentner-Stipendien .",U05073,Technologische Entwicklung- Beschleunigertechnologie,2007-09-12,2008-12-31,374611,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2007,True
933,05K16KTB,Technische Universität Berlin,Technische Universität Berlin - Fakultät II Mathematik und Naturwissenschaften - Zentrum für Astronomie und Astrophysik,Verbundprojekt 05K2016 - AMS-Ionenquelle: Entwicklung einer effizienten Hochstromionenquelle für Untersuchungen von Mikrometeoriten mit Beschleunigermassenspektrometrie. Teilprojekt 2.,U03053,Erforschung kondensierter Materie - Teilchenstrahlen,2016-07-01,2019-12-31,146177,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - AMS-Ionenquelle,PDIR,2016,True
939,05K16GU2,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik","Verbundprojekt 05K2016 - LoKoFEL: Longitudinale Kohärenz am Freie-Elektronen-Laser - Kontrolle, Analyse und Anwendungen -. Teilprojekt 3: X-Ray-Puls-Kompression an Freie-Elektronen Lasern.",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-12-31,544725,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - LoKoFEL,PDIR,2016,True
940,05K16GUB,Universität Hamburg,"Universität Hamburg - Fakultät für Mathematik, Informatik und Naturwissenschaften - Fachbereich Physik - Institut für Experimentalphysik",Nachweis einer neuartigen Linearisierungsmethode des longitudinalen Phasenraums zur Optimierung der Bunchkompression ohne die Verwendung von höherharmonischen Strukturen.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-12-31,580376,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2016,True
948,05K16ODB,Technische Universität Dresden,Technische Universität Dresden - Fakultät Elektrotechnik und Informationstechnik - Institut für Nachrichtentechnik - Lehrstuhl Hochfrequenztechnik,Verbundprojekt 05K2016 - NeoDyn: Neue elektronische und optische Detektorsysteme und Methoden zur Untersuchung der Dynamik hochrepetitiver kurzer Elektronenpakete. Teilprojekt 3: Spektrale Analyse und ortsaufgelöstes Monitoring von Elektronenpaketen durch THz-Strahlung (SAMoS).,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-06-30,372572,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - NeoDyn,PDIR,2016,True
952,05K16MG1,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen - Fakultät für Physik - II. Physikalisches Institut,Verbundprojekt 05K2016 - AMS-Ionenquelle: Entwicklung einer effizienten Hochstromionenquelle für Untersuchungen von Mikrometeoriten mit Beschleunigermassenspektrometrie. Teilprojekt 1.,U03053,Erforschung kondensierter Materie - Teilchenstrahlen,2016-07-01,2020-09-30,533811,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - AMS-Ionenquelle,PDIR,2016,True
964,05K16VFB,Albert-Ludwigs-Universität Freiburg,Albert-Ludwigs-Universität Freiburg - Fakultät für Mathematik und Physik - Physikalisches Institut,"Verbundprojekt 05K2016 - LoKoFEL: Longitudinale Kohärenz am Freie-Elektronen-Laser - Kontrolle, Analyse und Anwendungen -. Teilprojekt 4: Phasenmodulierte Laserpulse zum Seeden von FLASH für kohärente XUV-Spektroskopie.",U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-06-30,325739,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - LoKoFEL,PDIR,2016,True
966,05K16PM2,Universität Münster,Universität Münster - Mathematisch-Naturwissenschaftliche Fakultät - Fachbereich Physik -Physikalisches Institut,Bau einer interferometrisch gesteuerten Spiegelnachführung für die Strahlteiler- und Verzögerungseinheit (SDU) am SASE2 Undulator des European XFEL,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,2016-07-01,2019-12-31,546501,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2016,True
970,05K16ROA,Technische Hochschule Mittelhessen,Technische Hochschule Mittelhessen - Fachbereich Informationstechnik-Elektrotechnik-Mechatronik (IEM),Minimierung des Ankunftzeitjitters von Kurzpulslaser und Elektronenbunchen für lasergetriebene Plasma Wakefield Beschleuniger,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2019-12-31,336355,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2016,True
973,05K16ZCA,Institut für Nanophotonik Göttingen e.V.,Institut für Nanophotonik Göttingen e.V.,Verbundprojekt 05K2016 - WeKokUbS: Wellenfront- und Kohärenzkontrolle an Undulator-basierten Strahlquellen zur Optimierung bildgebender Verfahren. Teilprojekt 2.,U03052,Erforschung kondensierter Materie - Synchrotronstrahlen,2016-07-01,2020-05-31,359479,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - WeKokUbS,PDIR,2016,True
979,05K16RDC,Technische Universität Darmstadt,Technische Universität Darmstadt - Fachbereich Material- und Geowissenschaften - FG Materialanalytik,Verbundprojekt 05K2016 - IIM@FAIR: Ionenstrahl-induzierte Materialmodifikationen. Teilprojekt 2: Hochenergie-Ionen-induzierte Elektronen- und Röntgen-(X-ray)-Emission zur Analyse der Auswirkung von Schwerionenbestrahlung auf Beschleuniger- und Nano-Materialien.,U03053,Erforschung kondensierter Materie - Teilchenstrahlen,2016-07-01,2020-12-31,270386,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - IIM@FAIR,PDIR,2016,True
994,05K16PS1,Universität Siegen,Universität Siegen - Fakultät IV - Department Maschinenbau - Lehrstuhl für Oberflächen- und Werkstofftechnik,Verbundprojekt 05K2016 - HOPE-II: Hochbrillante photoinduzierte Hochfrequenz-Elektronenquellen II. Teilprojekt 1: Entwicklung einer GaN-basierten Photokathode zur Erzeugung hochbrillanter Elektronenstrahlen in Elektroneninjektoren.,U03054,Erforschung kondensierter Materie - mit anderen Methoden,2016-07-01,2020-06-30,478579,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,05K2016 - HOPE-II,PDIR,2016,True
